0 July 20, 2012-Aurora theater shooting

X December 12, 2012-Sandy Hook

X September 16, 2013-Washington Navy Yard shooting

X October 1, 2015-Umpqua Community College shooting

X November 27,2015-Colorado Springs Planned Parenthood shooting

0 December 2, 2015-San Bernardino attack

X June 17, 2015-Charleston church shooting

X June 12, 2016-Orlando nightclub shooting

0 July 7, 2016-Dallas Police officers shooting

X January 6, 2017-Fort Lauderdale airport shooting

X April 10, 2017-North Park Elementary School shooting

0 October 1, 2017-Las Vegas shooting

0 November 5, 2017-Sutherland Springs church shooting

X December 31, 2017-Copper Canyon Apartment shooting

X February 14, 2018-Stoneman Douglas(Parkland Florida) High School shooting

X May 18, 2018-Santa Fe High School shooting
